layer,name,status,family,risk,references,file,line,evidence
emitter_api,BGT_i,unreviewed,BGT_i,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,95,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BHI_i,unreachable,BHI_i,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,91,no path from reachable AArch64 compiler/emitter roots
emitter_api,BIC_www,unreviewed,BIC_www,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,368,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BIC_xxx,unreachable,BIC_xxx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,369,no path from reachable AArch64 compiler/emitter roots
emitter_api,BL_i,unreachable,BL_i,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,78,no path from reachable AArch64 compiler/emitter roots
emitter_api,BLE_i,unreviewed,BLE_i,60,16,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,96,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BLR_x,unreviewed,BLR_x,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,79,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BLS_i,unreviewed,BLS_i,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,92,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BLT_i,unreachable,BLT_i,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,94,no path from reachable AArch64 compiler/emitter roots
emitter_api,BMI_i,unreviewed,BMI_i,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,87,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BNE_i,unreviewed,BNE_i,87,15,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,84,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BPL_i,unreachable,BPL_i,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,88,no path from reachable AArch64 compiler/emitter roots
emitter_api,BR_x,unreviewed,BR_x,87,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,80,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BVC_i,unreviewed,BVC_i,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,90,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BVS_i,unreviewed,BVS_i,60,21,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,89,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CBNZ_wi,unreviewed,CBNZ_wi,87,17,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,102,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CBNZ_xi,unreviewed,CBNZ_xi,87,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,103,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CBZ_wi,unreviewed,CBZ_wi,87,11,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,104,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CBZ_xi,unreviewed,CBZ_xi,87,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,105,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CC_B_i,unreviewed,CC_B_i,60,16,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,82,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CCMP_wwfc,unreachable,CCMP_wwfc,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,386,no path from reachable AArch64 compiler/emitter roots
emitter_api,CCMP_xxfc,unreachable,CCMP_xxfc,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,387,no path from reachable AArch64 compiler/emitter roots
emitter_api,CLEAR_LOW16_xx,unreachable,CLEAR_LOW16_xx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,445,no path from reachable AArch64 compiler/emitter roots
emitter_api,CLEAR_LOW4_xx,unreachable,CLEAR_LOW4_xx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,443,no path from reachable AArch64 compiler/emitter roots
emitter_api,CLEAR_LOW8_xx,unreviewed,CLEAR_LOW8_xx,60,11,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,444,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLEAR_NZCV,unreachable,CLEAR_NZCV,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,429,no path from reachable AArch64 compiler/emitter roots
emitter_api,CLEAR_xxbit,unreviewed,CLEAR_xxbit,60,5,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,440,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLEAR_xxCflag,unreviewed,CLEAR_xxCflag,60,5,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,433,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLEAR_xxVflag,unreviewed,CLEAR_xxVflag,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,434,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLEAR_xxZflag,unreviewed,CLEAR_xxZflag,60,7,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,432,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLS_ww,unreviewed,CLS_ww,60,8,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,378,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CLZ_ww,unreviewed,CLZ_ww,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,379,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_wi,unreviewed,CMP_wi,88,28,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,206,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_ww,unreviewed,CMP_ww,88,14,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,208,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_wwEX,unreachable,CMP_wwEX,88,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,212,no path from reachable AArch64 compiler/emitter roots
emitter_api,CMP_wwLSLi,unreviewed,CMP_wwLSLi,88,6,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,210,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_xi,unreviewed,CMP_xi,88,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,207,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_xx,unreviewed,CMP_xx,88,6,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,209,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CMP_xxLSLi,unreachable,CMP_xxLSLi,88,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,211,no path from reachable AArch64 compiler/emitter roots
emitter_api,CSEL_wwwc,unreviewed,CSEL_wwwc,60,9,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,390,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CSEL_xxxc,unreviewed,CSEL_xxxc,60,11,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,391,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CSET_wc,unreachable,CSET_wc,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,394,no path from reachable AArch64 compiler/emitter roots
emitter_api,CSET_xc,unreviewed,CSET_xc,60,15,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,395,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CSETM_wc,unreviewed,CSETM_wc,60,9,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,398,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,CSETM_xc,unreachable,CSETM_xc,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,399,no path from reachable AArch64 compiler/emitter roots
emitter_api,EOR_www,unreviewed,EOR_www,80,24,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,303,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,EOR_wwwLSLi,unreviewed,EOR_wwwLSLi,80,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,305,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,EOR_xxbit,unreviewed,EOR_xxbit,80,5,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,439,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,EOR_xxCflag,unreviewed,EOR_xxCflag,80,21,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,431,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,EOR_xxx,unreachable,EOR_xxx,80,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,304,no path from reachable AArch64 compiler/emitter roots
emitter_api,EOR_xxxLSLi,unreachable,EOR_xxxLSLi,80,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,306,no path from reachable AArch64 compiler/emitter roots
emitter_api,EXTR_wwwi,unreachable,EXTR_wwwi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,348,no path from reachable AArch64 compiler/emitter roots
emitter_api,EXTR_xxxi,unreachable,EXTR_xxxi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,349,no path from reachable AArch64 compiler/emitter roots
emitter_api,FABS_dd,unreviewed,FABS_dd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,479,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FABS_ss,unreachable,FABS_ss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,480,no path from reachable AArch64 compiler/emitter roots
emitter_api,FADD_ddd,unreviewed,FADD_ddd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,481,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FADD_sss,unreachable,FADD_sss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,482,no path from reachable AArch64 compiler/emitter roots
emitter_api,FCMP_d0,unreviewed,FCMP_d0,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,484,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FCMP_dd,unreachable,FCMP_dd,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,483,no path from reachable AArch64 compiler/emitter roots
emitter_api,FCMP_ss,unreachable,FCMP_ss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,485,no path from reachable AArch64 compiler/emitter roots
emitter_api,FCVT_ds,unreviewed,FCVT_ds,60,6,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,467,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FCVT_sd,unreviewed,FCVT_sd,60,7,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,468,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FCVTAS_wd,unreviewed,FCVTAS_wd,60,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,472,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FCVTAS_xd,unreachable,FCVTAS_xd,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,473,no path from reachable AArch64 compiler/emitter roots
emitter_api,FCVTZS_xd,unreachable,FCVTZS_xd,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,474,no path from reachable AArch64 compiler/emitter roots
emitter_api,FDIV_ddd,unreviewed,FDIV_ddd,60,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,486,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FDIV_sss,unreviewed,FDIV_sss,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,487,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_dd,unreviewed,FMOV_dd,60,5,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,458,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_di,unreviewed,FMOV_di,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,464,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_dx,unreviewed,FMOV_dx,60,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,460,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_si,unreachable,FMOV_si,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,465,no path from reachable AArch64 compiler/emitter roots
emitter_api,FMOV_ss,unreachable,FMOV_ss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,459,no path from reachable AArch64 compiler/emitter roots
emitter_api,FMOV_sw,unreviewed,FMOV_sw,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,462,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_ws,unreviewed,FMOV_ws,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,463,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMOV_xd,unreviewed,FMOV_xd,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,461,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMSUB_dddd,unreviewed,FMSUB_dddd,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,490,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMUL_ddd,unreviewed,FMUL_ddd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,488,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FMUL_sss,unreviewed,FMUL_sss,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,489,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FNEG_dd,unreviewed,FNEG_dd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,491,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FNEG_ss,unreachable,FNEG_ss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,492,no path from reachable AArch64 compiler/emitter roots
emitter_api,FRINTA_dd,unreviewed,FRINTA_dd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,469,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FRINTI_dd,unreviewed,FRINTI_dd,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,470,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FRINTZ_dd,unreviewed,FRINTZ_dd,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,471,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FSQRT_dd,unreviewed,FSQRT_dd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,493,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FSQRT_ss,unreachable,FSQRT_ss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,494,no path from reachable AArch64 compiler/emitter roots
emitter_api,FSUB_ddd,unreviewed,FSUB_ddd,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,495,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,FSUB_sss,unreachable,FSUB_sss,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,496,no path from reachable AArch64 compiler/emitter roots
emitter_api,immEncode,unreviewed,immEncode,60,23,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,59,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,immOP_AND,unreviewed,immOP_AND,60,7,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,425,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,immOP_EOR,unreviewed,immOP_EOR,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,424,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,immOP_ORR,unreviewed,immOP_ORR,60,5,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,426,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDAR_wX,unreachable,LDAR_wX,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,502,no path from reachable AArch64 compiler/emitter roots
emitter_api,LDAR_wXi,unreachable,LDAR_wXi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,501,no path from reachable AArch64 compiler/emitter roots
emitter_api,LDP_wwXi,unreachable,LDP_wwXi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,119,no path from reachable AArch64 compiler/emitter roots
emitter_api,LDP_xxXi,unreviewed,LDP_xxXi,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,120,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDP_xxXpost,unreviewed,LDP_xxXpost,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,121,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_dXi,unreviewed,LDR_dXi,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,451,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_dXx,unreviewed,LDR_dXx,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,453,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_sXi,unreviewed,LDR_sXi,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,452,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_wPCi,unreachable,LDR_wPCi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,125,no path from reachable AArch64 compiler/emitter roots
emitter_api,LDR_wXi,unreviewed,LDR_wXi,60,22,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,122,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_wXx,unreviewed,LDR_wXx,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,132,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_wXxLSLi,unreviewed,LDR_wXxLSLi,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,135,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_xPCi,unreviewed,LDR_xPCi,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,126,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_xXi,unreviewed,LDR_xXi,60,25,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,123,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_xXpost,unreviewed,LDR_xXpost,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,124,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,LDR_xXx,unreachable,LDR_xXx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,133,no path from reachable AArch64 compiler/emitter roots
